[2025-04-11T23:43:26.053+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-11T23:43:26.063+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-11T23:43:23.931280+00:00 [queued]>
[2025-04-11T23:43:26.068+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-11T23:43:23.931280+00:00 [queued]>
[2025-04-11T23:43:26.069+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-04-11T23:43:51.194+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/the-metropolitan-museum-of-art
[2025-04-11T23:43:54.973+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/grand-central-terminal
[2025-04-11T23:43:59.029+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/american-museum-of-natural-history
[2025-04-11T23:44:02.932+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/museum-of-modern-art
[2025-04-11T23:44:06.813+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/high-line
[2025-04-11T23:44:10.816+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/national-9-11-memorial-museum
[2025-04-11T23:44:14.600+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/intrepid-sea-air-and-space-museum
[2025-04-11T23:44:18.386+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/solomon-r-guggenheim-museum
[2025-04-11T23:44:22.255+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/radio-city-music-hall
[2025-04-11T23:44:26.584+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/fanaberie
[2025-04-11T23:44:30.670+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/united-nations-headquarters
[2025-04-11T23:44:34.619+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 2: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=2
[2025-04-11T23:44:41.430+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-11T23:44:41.430+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-public-library
[2025-04-11T23:44:45.111+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/national-museum-of-american-indian
[2025-04-11T23:44:48.925+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/children-s-museum-of-manhattan
[2025-04-11T23:44:52.868+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/the-morgan-library-and-museum
[2025-04-11T23:44:56.740+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/cathedral-church-of-saint-john-the-divine
[2025-04-11T23:45:00.464+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/gramercy-tavern
[2025-04-11T23:45:04.152+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-bridge
[2025-04-11T23:45:07.825+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/bryant-park
[2025-04-11T23:45:11.540+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-heights-promenade
[2025-04-11T23:45:15.193+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/65th-street
[2025-04-11T23:45:18.945+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/chrysler-building
[2025-04-11T23:45:22.777+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/chinatown
[2025-04-11T23:45:26.523+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/dead-rabbit
[2025-04-11T23:45:30.310+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-transit-museum
[2025-04-11T23:45:34.154+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/frick-collection
[2025-04-11T23:45:37.800+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 3: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=3
[2025-04-11T23:45:45.218+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-11T23:45:45.219+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/yankee-stadium
[2025-04-11T23:45:49.275+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/harlem
[2025-04-11T23:45:53.066+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/battery-park
[2025-04-11T23:45:56.887+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/the-mean-fiddler
[2025-04-11T23:46:00.601+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/st-paul-s-chapel
[2025-04-11T23:46:04.351+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/metropolitan-opera-house
[2025-04-11T23:46:08.163+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/st-patrick-s-cathedral
[2025-04-11T23:46:12.149+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/little-italy
[2025-04-11T23:46:15.839+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/central-park-zoo
[2025-04-11T23:46:19.581+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/lexington-avenue
[2025-04-11T23:46:23.332+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-botanical-garden
[2025-04-11T23:46:27.147+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-botanical-garden
[2025-04-11T23:46:31.138+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/place/adda/51c828b2e705454c13000000
[2025-04-11T23:46:36.427+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-industries
[2025-04-11T23:46:40.157+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/bloomingdale-s
[2025-04-11T23:46:44.003+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 4: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=4
[2025-04-11T23:46:50.585+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-11T23:46:50.585+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/one-world-trade-center
[2025-04-11T23:46:54.445+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/carnegie-hall
[2025-04-11T23:46:58.099+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/ground-zero
[2025-04-11T23:47:01.813+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/narcissa
[2025-04-11T23:47:05.457+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/minton-s
[2025-04-11T23:47:09.149+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/museum-of-the-moving-image
[2025-04-11T23:47:12.917+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/south-street-seaport
[2025-04-11T23:47:17.030+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/french-roast
[2025-04-11T23:47:20.683+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/little-owl
[2025-04-11T23:47:24.347+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/wall-street-new-york
[2025-04-11T23:47:28.351+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/century-21
[2025-04-11T23:47:32.195+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-harbor
[2025-04-11T23:47:35.934+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/flushing-meadows-corona-park
[2025-04-11T23:47:39.595+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/governor-s-island
[2025-04-11T23:47:43.245+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/apollo-theater
[2025-04-11T23:47:47.059+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 5: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=5
[2025-04-11T23:47:54.251+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-11T23:47:54.252+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/big-gay-ice-cream
[2025-04-11T23:47:57.957+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/luna-park-coney-island
[2025-04-11T23:48:01.675+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-bridge-park
[2025-04-11T23:48:05.464+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/plaza-hotel
[2025-04-11T23:48:09.260+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/chelsea-market
[2025-04-11T23:48:12.994+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/the-strip-house-12th-street
[2025-04-11T23:48:16.648+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/germania-bank-building
[2025-04-11T23:48:20.351+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/graffiti-hall-of-fame
[2025-04-11T23:48:24.265+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/flatiron-building
[2025-04-11T23:48:28.141+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/hayden-planetarium
[2025-04-11T23:48:31.947+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/cafe-mogador
[2025-04-11T23:48:35.714+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/broadway-street
[2025-04-11T23:48:39.397+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/eataly
[2025-04-11T23:48:43.223+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/hunts-point
[2025-04-11T23:48:46.997+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/circle-line-cruise
[2025-04-11T23:48:50.792+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 6: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=6
[2025-04-11T23:48:58.452+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-11T23:48:58.452+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/fifth-avenue
[2025-04-11T23:49:05.124+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/marea
[2025-04-11T23:49:11.859+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/museum-of-jewish-heritage
[2025-04-11T23:49:16.364+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/church-of-st-paul-the-apostle
[2025-04-11T23:49:22.085+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/st-vincent-ferrer
[2025-04-11T23:49:29.186+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/st-francis-xavier
[2025-04-11T23:49:33.454+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/calvary-episcopal-church
[2025-04-11T23:49:38.652+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/macy-s-herald-square
[2025-04-11T23:49:43.397+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-flea
[2025-04-11T23:49:48.948+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/neue-gallery
[2025-04-11T23:49:53.131+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/bldg-92
[2025-04-11T23:49:58.071+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/centre-fuge-public-art-project
[2025-04-11T23:50:03.490+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/the-lion
[2025-04-11T23:50:14.910+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/bowery-graffiti-wall
[2025-04-11T23:50:19.492+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/bronx-hall-of-fame
[2025-04-11T23:50:24.485+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 7: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=7
[2025-04-11T23:50:30.958+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-11T23:50:30.958+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/general-grant-national-memorial
[2025-04-11T23:50:35.386+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/union-square
[2025-04-11T23:50:41.149+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/brandy-library
[2025-04-11T23:50:45.404+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/casa-lever
[2025-04-11T23:50:50.720+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/hudson-river-greenway
[2025-04-11T23:50:55.319+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/new-york-united-states/museum-of-the-city-of-new-york
[2025-04-11T23:50:59.793+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/union-square-greenmarket
[2025-04-11T23:51:04.524+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/museum-of-arts-and-design-store
[2025-04-11T23:51:09.675+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/welling-court
[2025-04-11T23:51:14.292+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/stillwell-avenue
[2025-04-11T23:51:19.141+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/woolworth-building-tour
[2025-04-11T23:51:23.530+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/tuff-city
[2025-04-11T23:51:28.075+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/north-6th-street
[2025-04-11T23:51:32.781+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/cafe-wha
[2025-04-11T23:51:38.729+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/majestic-theatre
[2025-04-11T23:51:43.843+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 8: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=8
[2025-04-11T23:51:51.581+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-11T23:51:51.582+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/greenwich-village
[2025-04-11T23:51:56.383+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/ghostbusters-fire-station
[2025-04-11T23:52:00.976+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/west-village
[2025-04-11T23:52:06.606+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/bethesda-terrace-and-fountain
[2025-04-11T23:52:11.284+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/madame-tussauds-wax-museum
[2025-04-11T23:52:17.126+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/washington-square-park
[2025-04-11T23:52:21.417+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/broadway-theater
[2025-04-11T23:52:26.743+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/riverside-park
[2025-04-11T23:52:31.237+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/the-octagon-roosevelt-island
[2025-04-11T23:52:36.617+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/long-beach
[2025-04-11T23:52:42.003+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/42nd-east-street
[2025-04-11T23:52:47.568+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/conservatory-garden
[2025-04-11T23:52:52.843+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/trinity-church
[2025-04-11T23:52:57.138+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/studio-54
[2025-04-11T23:53:01.774+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/barrymore-theatre
[2025-04-11T23:53:06.414+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 9: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=9
[2025-04-11T23:53:11.627+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-11T23:53:11.627+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/st-thomas-church
[2025-04-11T23:53:16.511+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/alice-in-wonderland-statue
[2025-04-11T23:53:21.163+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/upper-east-side
[2025-04-11T23:53:25.676+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/new-world-stages
[2025-04-11T23:53:30.071+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/federal-hall
[2025-04-11T23:53:34.623+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/queensboro-bridge
[2025-04-11T23:53:39.938+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-film-academy
[2025-04-11T23:53:45.963+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/herald-square
[2025-04-11T23:53:51.492+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/pennsylvania-station
[2025-04-11T23:53:57.061+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-university
[2025-04-11T23:54:08.001+0000] {job.py:229} INFO - Heartbeat recovered after 12.34 seconds
[2025-04-11T23:54:08.956+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/eleven-madison-park
[2025-04-11T23:54:13.909+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/momofuku-ko
[2025-04-11T23:54:18.298+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/aldea
[2025-04-11T23:54:22.034+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/brick-lane-curry-house
[2025-04-11T23:54:26.525+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/queen-s-zoo
[2025-04-11T23:54:32.440+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 10: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=10
[2025-04-11T23:54:37.703+0000] {things_to_do.py:86} INFO - 📄 Found 13 attraction links
[2025-04-11T23:54:37.704+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/13: https://www.triphobo.com/places/new-york-city-united-states/great-new-york-noodle-town
[2025-04-11T23:54:42.620+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/13: https://www.triphobo.com/places/new-york-city-united-states/junoon
